Year_Group,continent,Region,Population,Season,Climate,nb_medals,PIB_per_Capita
1991-2020,North America,Canada,33231111.0,Summer,Cold climate (<=5 C),226.47368421052633,39026.46971428571
1991-2020,North America,Canada,33231111.0,Winter,Cold climate (<=5 C),170.1818181818182,39026.46971428571
1991-2020,Africa,Central African Republic,4232345.393939394,Summer,Hot climate (>25 C),6.25,861.7622285714285
1991-2020,Africa,Chad,11604938.272727273,Summer,Hot climate (>25 C),3.0,1857.9437142857143
1991-2020,South America,Chile,16722709.303030303,Summer,Moderate climate (5 C-25 C),35.30769230769231,17731.709714285713
1991-2020,South America,Chile,16722709.303030303,Winter,Moderate climate (5 C-25 C),10.714285714285714,17731.709714285713
1991-2020,Asia,China,1309510000.0,Summer,Moderate climate (5 C-25 C),250.72222222222223,9362.932285714285
1991-2020,Asia,China,1309510000.0,Winter,Moderate climate (5 C-25 C),64.27272727272727,9362.932285714285
1991-2020,South America,Colombia,42896111.27272727,Summer,Moderate climate (5 C-25 C),63.72727272727273,11007.593428571428
1991-2020,South America,Colombia,42896111.27272727,Winter,Moderate climate (5 C-25 C),2.0,11007.593428571428
1991-2020,Africa,Comoros,630156.696969697,Summer,Moderate climate (5 C-25 C),3.142857142857143,2347.9891428571427
1991-2020,North America,Costa Rica,4309694.96969697,Summer,Moderate climate (5 C-25 C),12.555555555555555,13784.968285714285
1991-2020,North America,Costa Rica,4309694.96969697,Winter,Moderate climate (5 C-25 C),3.0,13784.968285714285
1991-2020,Europe,Croatia,4288401.363636363,Summer,Moderate climate (5 C-25 C),97.625,21740.781470588237
1991-2020,Europe,Croatia,4288401.363636363,Winter,Moderate climate (5 C-25 C),24.142857142857142,21740.781470588237
1991-2020,Europe,Cyprus,1073645.4848484849,Summer,Moderate climate (5 C-25 C),20.375,32210.141428571427
1991-2020,Europe,Cyprus,1073645.4848484849,Winter,Moderate climate (5 C-25 C),3.2857142857142856,32210.141428571427
1991-2020,Europe,Denmark,5503730.545454546,Summer,Moderate climate (5 C-25 C),128.77777777777777,44679.88971428571
1991-2020,Europe,Denmark,5503730.545454546,Winter,Moderate climate (5 C-25 C),13.428571428571429,44679.88971428571
1991-2020,Africa,Djibouti,873497.1212121212,Summer,Hot climate (>25 C),4.857142857142857,3925.436857142857
1991-2020,North America,Dominica,68786.33333333333,Summer,Hot climate (>25 C),2.857142857142857,9111.822285714286
1991-2020,North America,Dominica,68786.33333333333,Winter,Hot climate (>25 C),1.0,9111.822285714286
1991-2020,North America,Dominican Republic,9419281.242424242,Summer,Moderate climate (5 C-25 C),32.0,12215.616571428573
1991-2020,South America,Ecuador,14377742.878787879,Summer,Moderate climate (5 C-25 C),25.555555555555557,8881.080857142857
1991-2020,North America,El Salvador,6010689.363636363,Summer,Hot climate (>25 C),9.0,6569.935714285714
1991-2020,Africa,Equatorial Guinea,1084066.4848484849,Summer,Moderate climate (5 C-25 C),3.875,18897.752200000003
1991-2020,Africa,Eritrea,2682689.6666666665,Summer,Hot climate (>25 C),9.5,1377.346857142857
1991-2020,Europe,Estonia,1372181.4545454546,Summer,Moderate climate (5 C-25 C),37.92307692307692,24666.65303030303
1991-2020,Europe,Estonia,1372181.4545454546,Winter,Moderate climate (5 C-25 C),47.22222222222222,24666.65303030303
1991-2020,Africa,Ethiopia,85304128.0,Summer,Moderate climate (5 C-25 C),29.5,1458.684
1991-2020,Africa,Ethiopia,85304128.0,Winter,Moderate climate (5 C-25 C),1.0,1458.684
1991-2020,Oceania,Fiji,873497.2121212122,Summer,Moderate climate (5 C-25 C),21.875,9513.462
1991-2020,Oceania,Fiji,873497.2121212122,Winter,Moderate climate (5 C-25 C),1.5,9513.462
1991-2020,Europe,Finland,5307814.303030303,Summer,Cold climate (<=5 C),110.1875,37552.29914285714
1991-2020,Europe,Finland,5307814.303030303,Winter,Cold climate (<=5 C),96.72727272727273,37552.29914285714
1991-2020,Europe,France,63624288.03030303,Summer,Moderate climate (5 C-25 C),399.4736842105263,37277.85942857143
1991-2020,Europe,France,63624288.03030303,Winter,Moderate climate (5 C-25 C),127.36363636363636,37277.85942857143
1991-2020,Africa,Gabon,1645031.0303030303,Summer,Hot climate (>25 C),7.625,15350.510857142857
1991-2020,Asia,Georgia,4024471.0303030303,Summer,Moderate climate (5 C-25 C),40.42857142857143,9808.485625
1991-2020,Asia,Georgia,4024471.0303030303,Winter,Moderate climate (5 C-25 C),6.5,9808.485625
1991-2020,Europe,Germany,82014094.24242425,Summer,Moderate climate (5 C-25 C),393.52941176470586,40741.38257142857
1991-2020,Europe,Germany,82014094.24242425,Winter,Moderate climate (5 C-25 C),178.7,40741.38257142857
1991-2020,Africa,Ghana,24055092.78787879,Summer,Hot climate (>25 C),23.125,4063.214857142857
1991-2020,Africa,Ghana,24055092.78787879,Winter,Hot climate (>25 C),1.0,4063.214857142857
1991-2020,Europe,Greece,10780184.0,Summer,Moderate climate (5 C-25 C),125.95,25540.904285714285
1991-2020,Europe,Greece,10780184.0,Winter,Moderate climate (5 C-25 C),13.625,25540.904285714285
1991-2020,North America,Grenada,110211.66666666667,Summer,Hot climate (>25 C),5.875,11435.010857142857
1991-2020,North America,Guatemala,13684145.030303031,Summer,Moderate climate (5 C-25 C),21.444444444444443,6530.8802857142855
1991-2020,Africa,Guinea,10054578.848484848,Summer,Hot climate (>25 C),5.625,1714.8247714285715
1991-2020,Africa,Guinea-Bissau,1505807.8484848484,Summer,Hot climate (>25 C),3.5714285714285716,1646.9569428571428
1991-2020,South America,Guyana,767413.2424242424,Summer,Hot climate (>25 C),6.0,15352.668571428572
1991-2020,North America,Haiti,9340580.787878787,Summer,Moderate climate (5 C-25 C),6.833333333333333,2563.3334285714286
