Year_Group,continent,Region,Population,Climate,nb_medals,PIB_per_Capita
1991-2020,Europe,Ireland,4295586.03030303,Moderate climate (5 C-25 C),50.23529411764706,56067.849428571426
1991-2020,Asia,Israel,7263875.757575758,Moderate climate (5 C-25 C),36.857142857142854,30358.234857142856
1991-2020,Europe,Italy,58422452.333333336,Moderate climate (5 C-25 C),230.1,35679.122
1991-2020,North America,Jamaica,2682626.4242424243,Hot climate (>25 C),40.285714285714285,8570.987714285715
1991-2020,Asia,Japan,126661734.3030303,Moderate climate (5 C-25 C),235.91666666666666,35106.84114285714
1991-2020,Asia,Jordan,7222429.787878788,Moderate climate (5 C-25 C),8.125,8299.356857142857
1991-2020,Asia,Kazakhstan,17222526.151515152,Moderate climate (5 C-25 C),118.84615384615384,18015.747352941176
1991-2020,Africa,Kenya,38588774.39393939,Hot climate (>25 C),44.09090909090909,3351.7514285714287
1991-2020,Oceania,Kiribati,102599.54545454546,Hot climate (>25 C),2.8,1970.7728571428572
1991-2020,Asia,Kuwait,2838287.484848485,Hot climate (>25 C),19.285714285714285,54648.9196969697
1991-2020,Europe,Latvia,2197791.212121212,Moderate climate (5 C-25 C),44.95454545454545,19961.40588235294
1991-2020,Asia,Lebanon,4948700.060606061,Moderate climate (5 C-25 C),6.769230769230769,11320.9303125
1991-2020,Africa,Lesotho,2038608.9090909092,Moderate climate (5 C-25 C),6.0,2096.7280857142855
1991-2020,Africa,Liberia,3678636.0606060605,Hot climate (>25 C),4.714285714285714,1231.6411923076923
1991-2020,Africa,Libya,5949733.575757576,Moderate climate (5 C-25 C),5.25,24425.33742857143
1991-2020,Europe,Lithuania,3227679.121212121,Moderate climate (5 C-25 C),39.611111111111114,24942.003548387096
1991-2020,Europe,Luxembourg,501116.42424242425,Moderate climate (5 C-25 C),25.863636363636363,90274.38228571428
1991-2020,Africa,Madagascar,20854035.606060605,Moderate climate (5 C-25 C),8.777777777777779,1513.9557142857143
1991-2020,Africa,Malawi,14268726.090909092,Moderate climate (5 C-25 C),3.625,1152.3814285714286
1991-2020,Asia,Malaysia,26871914.87878788,Hot climate (>25 C),41.875,20196.473714285712
1991-2020,Asia,Maldives,354070.3333333333,Hot climate (>25 C),5.5,16366.34742857143
1991-2020,Africa,Mali,15176886.878787879,Hot climate (>25 C),8.625,1651.4259714285715
1991-2020,Europe,Malta,424053.30303030304,Moderate climate (5 C-25 C),7.363636363636363,31564.826857142856
1991-2020,Oceania,Marshall Islands,48509.09090909091,Hot climate (>25 C),4.0,3573.5437931034485
1991-2020,Africa,Mauritania,3279754.8484848486,Hot climate (>25 C),2.75,4562.776
1991-2020,Africa,Mauritius,1211477.0909090908,Moderate climate (5 C-25 C),16.75,15599.244571428573
1991-2020,North America,Mexico,108574215.0,Moderate climate (5 C-25 C),68.78947368421052,16596.182285714287
1991-2020,Europe,Moldova,2843139.6666666665,Moderate climate (5 C-25 C),20.0,7808.408529411765
1991-2020,Asia,Mongolia,2697611.8181818184,Cold climate (<=5 C),19.733333333333334,7897.7119999999995
1991-2020,Europe,Montenegro,615133.6666666666,Moderate climate (5 C-25 C),21.5,16674.75192307692
1991-2020,Africa,Morocco,31274123.87878788,Moderate climate (5 C-25 C),40.27272727272727,6358.746857142857
1991-2020,Africa,Mozambique,22228490.515151516,Moderate climate (5 C-25 C),5.75,896.8534857142857
1991-2020,Asia,Myanmar,47810902.18181818,Moderate climate (5 C-25 C),5.0,3179.075857142857
1991-2020,Africa,Namibia,2087002.393939394,Moderate climate (5 C-25 C),11.0,7915.465714285714
1991-2020,Oceania,Nauru,10510.727272727272,Hot climate (>25 C),2.142857142857143,6985.431363636363
1991-2020,Asia,Nepal,25928779.606060605,,3.8461538461538463,2384.2818857142856
1991-2020,Europe,Netherlands,16413985.272727273,Moderate climate (5 C-25 C),164.46153846153845,44456.44485714286
1991-2020,Oceania,New Zealand,4261272.7272727275,Moderate climate (5 C-25 C),83.52380952380952,31748.270857142856
1991-2020,North America,Nicaragua,5537271.2727272725,Hot climate (>25 C),9.375,4455.49
1991-2020,Africa,Niger,15758417.515151516,Hot climate (>25 C),4.625,1041.7754571428572
1991-2020,Africa,Nigeria,157572112.3939394,Hot climate (>25 C),78.375,3916.765142857143
1991-2020,Europe,Norway,4809929.757575758,Cold climate (<=5 C),107.37931034482759,56519.2
1991-2020,Asia,Oman,3082218.9393939395,Hot climate (>25 C),4.5,38807.78828571429
1991-2020,Asia,Pakistan,184045970.54545453,Moderate climate (5 C-25 C),16.7,4184.602857142857
1991-2020,Oceania,Palau,18143.18181818182,Hot climate (>25 C),4.666666666666667,13022.185384615384
1991-2020,North America,Panama,3459683.4545454546,Hot climate (>25 C),7.555555555555555,18886.098
1991-2020,Oceania,Papua New Guinea,7064783.515151516,Moderate climate (5 C-25 C),10.0,2729.730285714286
1991-2020,South America,Paraguay,5555838.060606061,Moderate climate (5 C-25 C),11.444444444444445,9665.632
1991-2020,South America,Peru,28367443.272727273,Moderate climate (5 C-25 C),19.692307692307693,9057.460857142858
1991-2020,Asia,Philippines,91001039.3030303,Hot climate (>25 C),16.142857142857142,5953.4554285714285
1991-2020,Europe,Poland,38094473.333333336,Moderate climate (5 C-25 C),137.70833333333334,21809.554285714286
1991-2020,Europe,Portugal,10329854.0,Moderate climate (5 C-25 C),51.94736842105263,26857.39742857143
1991-2020,North America,Puerto Rico,3603099.3333333335,Hot climate (>25 C),40.0,29206.435714285715
1991-2020,Asia,Qatar,1409748.8484848484,Hot climate (>25 C),21.25,105005.11142857143
1991-2020,Europe,Romania,20986408.424242426,Moderate climate (5 C-25 C),93.95652173913044,18932.460285714285
1991-2020,Africa,Rwanda,9868363.848484848,Moderate climate (5 C-25 C),5.875,1431.6044857142856
1991-2020,Oceania,Samoa,191100.18181818182,Hot climate (>25 C),7.0,4795.168571428571
1991-2020,Europe,San Marino,30049.484848484848,Moderate climate (5 C-25 C),5.142857142857143,66758.02
1991-2020,Asia,Saudi Arabia,22186025.727272727,Hot climate (>25 C),21.875,54058.548285714285
1991-2020,Africa,Senegal,12262958.818181818,Hot climate (>25 C),15.5,2678.5105714285714
1991-2020,Europe,Serbia,7300413.7272727275,Moderate climate (5 C-25 C),59.68181818181818,15464.603461538461
1991-2020,Africa,Seychelles,87167.63636363637,Hot climate (>25 C),10.125,21246.544857142857
1991-2020,Africa,Sierra Leone,5873959.424242424,Hot climate (>25 C),6.5,1247.4268285714286
1991-2020,Asia,Singapore,4633760.212121212,Hot climate (>25 C),31.375,71239.35885714286
1991-2020,Europe,Slovenia,2031568.121212121,Moderate climate (5 C-25 C),78.33333333333333,28536.81117647059
1991-2020,Oceania,Solomon Islands,534614.5757575758,Hot climate (>25 C),2.75,1923.6060000000002
1991-2020,Africa,Somalia,11472494.575757576,Hot climate (>25 C),2.2857142857142856,1686.4835714285714
1991-2020,Africa,South Africa,51505648.63636363,Moderate climate (5 C-25 C),76.38095238095238,11496.14542857143
1991-2020,Africa,South Sudan,8253064.333333333,Hot climate (>25 C),2.5,919.1416
1991-2020,Europe,Spain,43891108.84848485,Moderate climate (5 C-25 C),184.52380952380952,31273.013714285713
1991-2020,Asia,Sri Lanka,19993016.09090909,Hot climate (>25 C),12.375,7789.9271874999995
1991-2020,Africa,Sudan,34107725.39393939,Hot climate (>25 C),5.5,3533.3948571428573
1991-2020,South America,Suriname,524704.3333333334,Hot climate (>25 C),6.125,12821.210285714285
1991-2020,Europe,Sweden,9366630.333333334,Cold climate (<=5 C),173.0344827586207,41194.374571428576
1991-2020,Europe,Switzerland,7714279.757575758,Moderate climate (5 C-25 C),117.76666666666667,55872.492
1991-2020,Asia,Tajikistan,7509491.181818182,Cold climate (<=5 C),7.2727272727272725,2518.5155
1991-2020,Africa,Tanzania,43306595.93939394,Moderate climate (5 C-25 C),6.75,1974.2240285714286
1991-2020,Asia,Thailand,65982541.72727273,Hot climate (>25 C),40.81818181818182,12706.913714285714
1991-2020,Asia,Timor-Leste,1041333.7272727273,Moderate climate (5 C-25 C),2.0,2688.867307692308
1991-2020,Africa,Togo,6368136.303030303,Hot climate (>25 C),4.888888888888889,1711.7105714285715
1991-2020,Oceania,Tonga,104309.15151515152,Hot climate (>25 C),4.222222222222222,4530.172285714286
1991-2020,Africa,Tunisia,10480542.272727273,Moderate climate (5 C-25 C),54.0,8892.965428571428
1991-2020,Asia,Turkmenistan,5393439.03030303,Moderate climate (5 C-25 C),9.142857142857142,11081.049117647059
1991-2020,Africa,Uganda,30952552.303030305,Moderate climate (5 C-25 C),15.375,1987.047742857143
