nom,ID,pays,discipline,année,médaille,saison
"Charles Allen ""Charlie"" White, Jr.",259749,United States-1,Figure Skating,2010,3,Winter
Charles Hamelin,89264,Canada,Short Track Speed Skating,2006,4,Winter
"Charline ""Charlie"" Labont",130437,Canada,Ice Hockey,2006,3,Winter
"Charlotte Willemijn ""Lotte"" van Beek",248035,Netherlands,Speed Skating,2014,2,Winter
Chen Dequan,39244,China,Short Track Speed Skating,2014,1,Winter
Chen Lu,39341,China,Figure Skating,1994,2,Winter
Cherie Piper,189341,Canada,Ice Hockey,2002,3,Winter
Cheryl Bernard (Kullman-),20249,Canada,Curling,2010,1,Winter
Cheryl Noble,172555,Canada,Curling,2002,1,Winter
Cheryl Pounder (-O'Toole),192325,Canada,Ice Hockey,2002,2,Winter
Chlo Dufour-Lapointe,59456,Canada,Freestyle Skiing,2014,1,Winter
Chlo Ella Trespeuch,243288,France,Snowboarding,2014,1,Winter
Choi Eun-Gyeong,40728,South Korea,Short Track Speed Skating,2002,4,Winter
Choi Min-Kyung,40841,South Korea,Short Track Speed Skating,2002,1,Winter
Chris le Bihan,134026,Canada-1,Bobsleigh,2010,1,Winter
Christa Rothenburger-Luding,204874,Germany,Speed Skating,1992,1,Winter
Christian Hoffmann,97054,Austria,Cross Country Skiing,1998,2,Winter
Christian Mayer,153370,Austria,Alpine Skiing,1994,2,Winter
Christian Moser,164155,Austria,Ski Jumping,1994,1,Winter
Christian Reich,198443,Switzerland-1,Bobsleigh,2002,1,Winter
"Christina ""Chris"" Bailey",12646,United States,Ice Hockey,1998,2,Winter
Christina Bertrup,20718,Sweden,Curling,2014,1,Winter
"Christine Diane ""Chris"" Witty",262182,United States,Speed Skating,1998,3,Winter
Christine Keshen,116389,Canada,Curling,2006,1,Winter
Christine Margaret Nesbitt,169800,Canada,Speed Skating,2006,2,Winter
Christine-Isabel Boudrias,26881,Canada,Short Track Speed Skating,1994,2,Winter
Christof Duffner,59409,Germany,Ski Jumping,1994,1,Winter
Christof Innerhofer,103115,Italy,Alpine Skiing,2014,2,Winter
Christof Schwaller,214764,Switzerland,Curling,2002,1,Winter
Christoffer Svae,232945,Norway,Curling,2010,1,Winter
Christoph Bieler,21548,Austria,Nordic Combined,2002,3,Winter
Christoph Langen,132030,Germany-2,Bobsleigh,1992,4,Winter
Christoph Sumann,232045,Austria,Biathlon,2010,3,Winter
"Christopher ""Chris"" Creveling",46098,United States,Short Track Speed Skating,2014,1,Winter
"Christopher ""Chris"" Fogt",70774,United States-1,Bobsleigh,2014,1,Winter
"Christopher ""Chris"" Kontos",123889,Canada,Ice Hockey,1994,1,Winter
"Christopher ""Chris"" Kunitz",129066,Canada,Ice Hockey,2014,1,Winter
"Christopher ""Chris"" Thorpe",239613,United States-1,Luge,1998,2,Winter
"Christopher Bowie ""Chris"" Therien",238581,Canada,Ice Hockey,1994,1,Winter
Christopher Colin Dean,52232,Great Britain,Figure Skating,1994,1,Winter
"Christopher Ellis ""Chris"" Drury",58867,United States,Ice Hockey,2002,2,Winter
"Christopher Jeffries ""Chris"" Klug",121400,United States,Snowboarding,2002,1,Winter
"Christopher Lloyd ""Chris"" Lindberg",139505,Canada,Ice Hockey,1992,1,Winter
"Christopher Robert ""Chris"" Pronger",193646,Canada,Ice Hockey,2002,2,Winter
"Christos Kostas ""Chris"" Chelios (Tselios-)",39167,United States,Ice Hockey,2002,1,Winter
Claire Hamilton,89319,Great Britain,Curling,2014,1,Winter
Clara Hughes,100584,Canada,Speed Skating,2002,4,Winter
Clas Patrik Juhlin,111126,Sweden,Ice Hockey,1994,1,Winter
Claudia Knzel-Nystad,129183,Germany,Cross Country Skiing,2002,6,Winter
Claudia Pechstein,184178,Germany,Speed Skating,1992,9,Winter
Colette Brand (-Roth),28185,Switzerland,Freestyle Skiing,1998,1,Winter
Coline Mattel,152743,France,Ski Jumping,2014,1,Winter
Colleen Coyne,45764,United States,Ice Hockey,1998,1,Winter
Colleen Sostorics,225538,Canada,Ice Hockey,2002,3,Winter
Collin Mitchell,160223,Canada,Curling,1998,1,Winter
Corey Hirsch,96384,Canada,Ice Hockey,1994,1,Winter
Corey Perry,186155,Canada,Ice Hockey,2010,2,Winter
"Corinne ""Cori"" Bartel (-Morris)",15251,Canada,Curling,2010,1,Winter
Corinne Mireille Dominique Niogret,172084,France,Biathlon,1992,2,Winter
Courtney Kennedy,115936,United States,Ice Hockey,2002,2,Winter
