nom,ID,pays,discipline,année,médaille,saison
Anna Katarina Timglas,240218,Sweden,Ice Hockey,2006,1,Winter
Anna Louise Marmont,150055,Sweden,Curling,1998,1,Winter
Anna Margret Haag (Hansson-),87659,Sweden,Cross Country Skiing,2010,3,Winter
Anna Maria Prytz,193880,Sweden,Curling,2014,1,Winter
Anna Maria Svrd-Le Moine (Bergstrm-),232992,Sweden,Curling,2006,2,Winter
Anna Sloan,222937,Great Britain,Curling,2014,1,Winter
Anna Ulrika Maria Wennerstrm,258967,Sweden,Curling,2014,1,Winter
Anna Viktoria Dahlberg-Olsson,48229,Sweden,Cross Country Skiing,2006,1,Winter
Anna-Carin Helena Cecilia Olofsson-Zidek,176688,Sweden,Biathlon,2006,2,Winter
"Anna-Lisa Eriksson (-Ejderfeldt, -Bergsten)",64336,Sweden,Cross Country Skiing,1956,1,Winter
Anna-Maria Mller (-Murach),165344,East Germany,Luge,1972,1,Winter
Anne Briand-Bouthiaux,29064,France,Biathlon,1992,3,Winter
Anne Elizabeth Henning (-Walker),94189,United States,Speed Skating,1972,2,Winter
Anne Heggtveit (-Hamilton),93134,Canada,Alpine Skiing,1960,1,Winter
Anne Helin,93655,Finland,Ice Hockey,2010,1,Winter
Anne Jahren,105465,Norway,Cross Country Skiing,1984,3,Winter
Anne Kathryn Schleper,213011,United States,Ice Hockey,2014,1,Winter
Anne Maria Kyllnen,130223,Finland,Cross Country Skiing,2014,1,Winter
Anne Marjut Astrid Rolig-Lukkarinen,203437,Finland,Cross Country Skiing,1992,2,Winter
"Anne-Marie ""Annie"" Famose (-Bremont)",66341,France,Alpine Skiing,1968,2,Winter
Annelie Ulrica Lindstrm,139993,Sweden,Ice Hockey,2002,1,Winter
Annelise Coberger,42921,New Zealand,Alpine Skiing,1992,1,Winter
"Annemarie ""Mirl"" Buchner (Fischer-)",31225,Germany,Alpine Skiing,1952,3,Winter
Annemarie Moser-Prll,164180,Austria,Alpine Skiing,1972,3,Winter
Annette Albertine Gerritsen,78448,Netherlands,Speed Skating,2010,1,Winter
Annette Sikveland,219819,Norway,Biathlon,1998,1,Winter
Anni Helena Kivioja-Takalo,120446,Finland,Cross Country Skiing,1972,5,Winter
Annica Gunilla hln,2396,Sweden,Ice Hockey,2002,1,Winter
Annie Perreault,186018,Canada,Short Track Speed Skating,1992,3,Winter
Annina Rajahuhta,196094,Finland,Ice Hockey,2010,1,Winter
Anouk Leblanc-Boucher,134372,Canada,Short Track Speed Skating,2006,2,Winter
Anssi Einar Koivuranta,122746,Finland,Nordic Combined,2006,1,Winter
Antarge Sherpa,218235,India,Alpinism,1924,1,Winter
Antero Pertti Elias Niittymki,171476,Finland,Ice Hockey,2006,1,Winter
Anthon Grimsmo,84710,Norway,Curling,1998,1,Winter
"Anthony Francis ""Fran"" Huck",100365,Canada,Ice Hockey,1968,1,Winter
"Anthony James Dillon ""Tony"" Nash",168370,Great Britain-1,Bobsleigh,1964,1,Winter
"Anthony Lewis ""Tony"" Amonte",6214,United States,Ice Hockey,2002,1,Winter
Antje Misersky-Harvey,160076,Germany,Biathlon,1992,4,Winter
Antoine Dnriaz,53727,France,Alpine Skiing,2006,1,Winter
Antoinette Josefa Clara Meyer (-Molitor),157748,Switzerland,Alpine Skiing,1948,1,Winter
"Anton ""Toni"" Innauer",103107,Austria,Ski Jumping,1976,2,Winter
"Anton ""Toni"" Kehle",115274,West Germany,Ice Hockey,1976,1,Winter
"Anton ""Toni"" Morosani",163787,Switzerland,Ice Hockey,1928,1,Winter
"Anton Engelbert ""Toni"" Sailer",207936,Austria,Alpine Skiing,1956,3,Winter
Anton Julen,111156,Switzerland,Military Ski Patrol,1924,1,Winter
Anton Sergeyevich Kushnir,129580,Belarus,Freestyle Skiing,2014,1,Winter
Anton Steiner,228599,Austria,Alpine Skiing,1984,1,Winter
Anton Tarielyevich Sikharulidze,219770,Russia-2,Figure Skating,1998,2,Winter
Anton Vladimirovich Shipulin,218736,Russia,Biathlon,2010,2,Winter
Anton Winkler,261812,West Germany,Luge,1980,1,Winter
Antonella Confortola-Wyatt,43976,Italy,Cross Country Skiing,2006,1,Winter
Antonio Tartaglia,236661,Italy-1,Bobsleigh,1998,1,Winter
Ants Antson,8356,Soviet Union,Speed Skating,1964,1,Winter
Antti Abram Hyvrinen,101760,Finland,Ski Jumping,1956,1,Winter
Antti Akseli Laaksonen,130349,Finland,Ice Hockey,2006,1,Winter
Antti Eerkki Tyrvinen,245559,Finland,Biathlon,1960,1,Winter
Antti Ilari Trmnen,241927,Finland,Ice Hockey,1998,1,Winter
Antti Markus Miettinen,158384,Finland,Ice Hockey,2010,1,Winter
Antti Sakari Kuisma,128613,Finland,Nordic Combined,2006,1,Winter
Antti Sakari Pihlstrm,188745,Finland,Ice Hockey,2014,1,Winter
Antti-Jussi Jormanpoika Niemi,171283,Finland,Ice Hockey,2006,1,Winter
Anzhelika Alekseyevna Krylova,127837,Russia-2,Figure Skating,1998,1,Winter
Apolo Anton Ohno,175654,United States,Short Track Speed Skating,2002,8,Winter
"Archibald ""Archie"" Stinchcombe",229532,Great Britain,Ice Hockey,1936,1,Winter
Ari Juhani Sulander,231877,Finland,Ice Hockey,1998,1,Winter
Ari-Pekka Nikkola,171595,Finland,Ski Jumping,1988,2,Winter
Arianna Fernanda Follis,70893,Italy,Cross Country Skiing,2006,1,Winter
Arianna Fontana,71012,Italy,Short Track Speed Skating,2006,5,Winter
Armand Isaac-Bndic,103573,France,Curling,1924,1,Winter
Armin Zggeler,270255,Italy,Luge,1994,6,Winter
Arnaud Bovolenta,27426,France,Freestyle Skiing,2014,1,Winter
Arnd Peiffer,184554,Germany,Biathlon,2014,1,Winter
Arne Dankers,49084,Canada,Speed Skating,2006,1,Winter
Arne Leif Johansen,108970,Norway,Speed Skating,1952,1,Winter
Arne Michael Thelvn,238442,Sweden,Ice Hockey,1984,1,Winter
Arne Mikael Johansson,109225,Sweden,Ice Hockey,1988,1,Winter
Arne Rustadstuen,206481,Norway,Cross Country Skiing,1932,1,Winter
Arnfinn Bergmann,19982,Norway,Ski Jumping,1952,1,Winter
"Arnold ""Noldi"" Gartmann",76641,Switzerland-2,Bobsleigh,1936,1,Winter
"Arnold Carl ""Arnie"" Oss, Jr.",178677,United States,Ice Hockey,1952,1,Winter
Arnold Clas Robert Thunberg,239745,Finland,Speed Skating,1924,7,Winter
Arnold Kadlec,111757,Czechoslovakia,Ice Hockey,1984,1,Winter
"Arnoldo Giovanni ""Arnold"" Martignoni",150495,Switzerland,Ice Hockey,1928,1,Winter
"Arthur ""Art"" Hurst",101192,Canada,Ice Hockey,1956,1,Winter
"Arthur Lawrence ""Jakie"" Nash",168353,Canada,Ice Hockey,1936,1,Winter
"Arthur Walter ""Art"" Tyler",245508,United States-1,Bobsleigh,1956,1,Winter
Arthur William Wakefield,255672,Great Britain,Alpinism,1924,1,Winter
Arto Ilmari Koivisto,122723,Finland,Cross Country Skiing,1976,2,Winter
Arto Kasperi Tiainen,239874,Finland,Cross Country Skiing,1964,2,Winter
Arto Sakari Ruotanen,206217,Finland,Ice Hockey,1988,1,Winter
Artur Valeryevich Dmitriyev,56409,Unified Team-1,Figure Skating,1992,3,Winter
Arvis Vilkaste,252796,Latvia-1,Bobsleigh,2014,1,Winter
Arvo Albert Viitanen,252606,Finland,Cross Country Skiing,1956,1,Winter
Ashleigh McIvor (-DeMerit),154667,Canada,Freestyle Skiing,2010,1,Winter
Ashley Elisabeth Wagner,255407,United States,Figure Skating,2014,1,Winter
Aslaug Magna Dahl,48171,Norway,Cross Country Skiing,1972,1,Winter
Atina Ford (Johnston-),71132,Canada,Curling,1998,1,Winter
